country,gender,year,amount,lat,lon
Armenia,Female,2013,541.28,40.0691,45.0382
Armenia,Female,2014,569.36,40.0691,45.0382
Armenia,Female,2015,684.03,40.0691,45.0382
Armenia,Female,2016,835.54,40.0691,45.0382
Armenia,Female,2017,930.49,40.0691,45.0382
Armenia,Female,2018,771.98,40.0691,45.0382
Armenia,Female,2019,1138.21,40.0691,45.0382
Armenia,Female,2020,1182.09,40.0691,45.0382
Armenia,Male,2013,801.02,40.0691,45.0382
Armenia,Male,2014,779.75,40.0691,45.0382
Armenia,Male,2015,878.8,40.0691,45.0382
Armenia,Male,2016,904.87,40.0691,45.0382
Armenia,Male,2017,884.29,40.0691,45.0382
Armenia,Male,2018,928.18,40.0691,45.0382
Armenia,Male,2019,1222.98,40.0691,45.0382
Armenia,Male,2020,1379.9,40.0691,45.0382
Belgium,Female,2010,31.49,50.8503,4.3517
Belgium,Female,2014,34.45,50.8503,4.3517
Belgium,Female,2015,33.72,50.8503,4.3517
Belgium,Female,2016,33.72,50.8503,4.3517
Belgium,Female,2017,34.46,50.8503,4.3517
Belgium,Female,2018,35.36,50.8503,4.3517
Belgium,Male,2010,39.28,50.8503,4.3517
Belgium,Male,2014,39.89,50.8503,4.3517
Belgium,Male,2015,38.56,50.8503,4.3517
Belgium,Male,2016,38.56,50.8503,4.3517
Belgium,Male,2017,39.41,50.8503,4.3517
Belgium,Male,2018,40.46,50.8503,4.3517
Bosnia and Herzegovina,Female,2011,5.87,43.9159,17.6791
Bosnia and Herzegovina,Female,2012,7.07,43.9159,17.6791
Bosnia and Herzegovina,Female,2013,6.58,43.9159,17.6791
Bosnia and Herzegovina,Female,2014,7.33,43.9159,17.6791
Bosnia and Herzegovina,Female,2015,7.58,43.9159,17.6791
Bosnia and Herzegovina,Female,2016,6.94,43.9159,17.6791
Bosnia and Herzegovina,Female,2020,10.44,43.9159,17.6791
Bosnia and Herzegovina,Female,2021,9.39,43.9159,17.6791
Bosnia and Herzegovina,Male,2011,7.12,43.9159,17.6791
Bosnia and Herzegovina,Male,2012,6.75,43.9159,17.6791
Bosnia and Herzegovina,Male,2013,7.77,43.9159,17.6791
Bosnia and Herzegovina,Male,2014,7.32,43.9159,17.6791
Bosnia and Herzegovina,Male,2015,8.68,43.9159,17.6791
Bosnia and Herzegovina,Male,2016,7.64,43.9159,17.6791
Bosnia and Herzegovina,Male,2020,11.1,43.9159,17.6791
Bosnia and Herzegovina,Male,2021,10.36,43.9159,17.6791
Bulgaria,Female,2010,4.41,42.7339,25.4858
Bulgaria,Female,2014,10.05,42.7339,25.4858
Bulgaria,Female,2018,13,42.7339,25.4858
Bulgaria,Male,2010,5.1,42.7339,25.4858
Bulgaria,Male,2014,11.83,42.7339,25.4858
Bulgaria,Male,2018,16,42.7339,25.4858
Czechia,Female,2012,260.94,49.8175,15.472
Czechia,Female,2013,265.27,49.8175,15.472
Czechia,Female,2014,272.85,49.8175,15.472
Czechia,Female,2015,279.54,49.8175,15.472
Czechia,Female,2016,282.6,49.8175,15.472
Czechia,Female,2017,302.4,49.8175,15.472
Czechia,Female,2018,320.1,49.8175,15.472
Czechia,Female,2019,360.9,49.8175,15.472
Czechia,Female,2020,387.9,49.8175,15.472
Czechia,Male,2012,373.51,49.8175,15.472
Czechia,Male,2013,362.31,49.8175,15.472
Czechia,Male,2014,373.55,49.8175,15.472
Czechia,Male,2015,384.79,49.8175,15.472
Czechia,Male,2016,387.2,49.8175,15.472
Czechia,Male,2017,414.6,49.8175,15.472
Czechia,Male,2018,434.7,49.8175,15.472
Czechia,Male,2019,504,49.8175,15.472
Czechia,Male,2020,525.9,49.8175,15.472
Denmark,Female,2010,35.32,56.2639,9.5018
Denmark,Female,2014,293.3,56.2639,9.5018
Denmark,Female,2018,321,56.2639,9.5018
Denmark,Male,2010,45.46,56.2639,9.5018
Denmark,Male,2014,375.51,56.2639,9.5018
Denmark,Male,2018,405,56.2639,9.5018
Finland,Female,2010,29.99,60.1699,24.9384
Finland,Female,2013,32.67,60.1699,24.9384
Finland,Female,2014,32.69,60.1699,24.9384
Finland,Female,2016,33.74,60.1699,24.9384
Finland,Female,2017,34.54,60.1699,24.9384
Finland,Female,2020,35.34,60.1699,24.9384
Finland,Female,2021,38.86,60.1699,24.9384
Finland,Male,2020,43.54,61.9241,25.7482
Finland,Male,2021,50.12,61.9241,25.7482
Finland,Male,2010,39.4,61.9241,25.7482
Finland,Male,2013,39.74,61.9241,25.7482
Finland,Male,2014,40.23,61.9241,25.7482
Finland,Male,2016,40.99,61.9241,25.7482
Finland,Male,2017,41.74,61.9241,25.7482
France,Male,2011,19,48.8566,2.3522
France,Male,2012,19.89,48.8566,2.3522
France,Male,2013,21.84,48.8566,2.3522
France,Male,2014,22.02,48.8566,2.3522
France,Male,2015,21.36,48.8566,2.3522
France,Male,2016,21.34,48.8566,2.3522
France,Male,2017,22.5,48.8566,2.3522
France,Male,2018,22.52,48.8566,2.3522
France,Male,2019,23.24,48.8566,2.3522
France,Male,2020,23.99,48.8566,2.3522
France,Female,2011,17.27,48.8566,2.3522
France,Female,2012,17.35,48.8566,2.3522
France,Female,2013,19.08,48.8566,2.3522
France,Female,2014,19.26,48.8566,2.3522
France,Female,2015,18.86,48.8566,2.3522
France,Female,2016,18.89,48.8566,2.3522
France,Female,2017,18.92,48.8566,2.3522
France,Female,2018,20.42,48.8566,2.3522
France,Female,2019,20.07,48.8566,2.3522
France,Female,2020,22.19,48.8566,2.3522
Germany,Female,2010,27.64,51.1657,10.4515
Germany,Female,2014,33.84,51.1657,10.4515
Germany,Female,2018,37.27,51.1657,10.4515
Germany,Male,2010,39.5,51.1657,10.4515
Germany,Male,2014,46.22,51.1657,10.4515
Germany,Male,2018,49.71,51.1657,10.4515
Greece,Female,2010,15.77,37.9838,23.7275
Greece,Female,2014,16.28,37.9838,23.7275
Greece,Female,2015,7.58,37.9838,23.7275
Greece,Female,2016,8.68,37.9838,23.7275
Greece,Female,2017,9.5,37.9838,23.7275
Greece,Female,2018,8.58,37.9838,23.7275
Greece,Female,2019,7.99,37.9838,23.7275
Greece,Female,2020,9.55,37.9838,23.7275
Greece,Male,2010,20.82,37.9838,23.7275
Greece,Male,2014,20.18,37.9838,23.7275
Greece,Male,2015,8.01,37.9838,23.7275
Greece,Male,2016,8.81,37.9838,23.7275
Greece,Male,2017,9.27,37.9838,23.7275
Greece,Male,2018,8.84,37.9838,23.7275
Greece,Male,2019,8.97,37.9838,23.7275
Greece,Male,2020,8.3,37.9838,23.7275
Hungary,Female,2010,7.76,47.1625,19.5033
Hungary,Female,2014,2356.15,47.1625,19.5033
Hungary,Female,2018,2950,47.1625,19.5033
Hungary,Female,2019,3460.56,47.1625,19.5033
Hungary,Female,2020,3963,47.1625,19.5033
Hungary,Female,2021,4483,47.1625,19.5033
Hungary,Male,2010,11.04,47.1625,19.5033
Hungary,Male,2014,3552.53,47.1625,19.5033
Hungary,Male,2018,3971,47.1625,19.5033
Hungary,Male,2019,4591.94,47.1625,19.5033
Hungary,Male,2020,5297,47.1625,19.5033
Hungary,Male,2021,5992,47.1625,19.5033
Iceland,Female,2014,4420,64.9631,19.0208
Iceland,Female,2015,4850,64.9631,19.0208
Iceland,Female,2016,5210,64.9631,19.0208
Iceland,Female,2017,5640,64.9631,19.0208
Iceland,Female,2021,6800,64.9631,19.0208
Iceland,Male,2014,5720,64.9631,19.0208
Iceland,Male,2015,6420,64.9631,19.0208
Iceland,Male,2016,6910,64.9631,19.0208
Iceland,Male,2017,7360,64.9631,19.0208
Iceland,Male,2021,8150,64.9631,19.0208
Italy,Female,2010,29.64,41.8719,12.5674
Italy,Female,2014,29.44,41.8719,12.5674
Italy,Female,2018,31,41.8719,12.5674
Italy,Male,2010,39.08,41.8719,12.5674
Italy,Male,2014,44.28,41.8719,12.5674
Italy,Male,2018,46,41.8719,12.5674
Luxembourg,Female,2010,39.08,49.8153,6.1296
Luxembourg,Female,2014,38.59,49.8153,6.1296
Luxembourg,Female,2018,41,49.8153,6.1296
Luxembourg,Male,2010,52.07,49.8153,6.1296
Luxembourg,Male,2014,49.51,49.8153,6.1296
Luxembourg,Male,2018,52,49.8153,6.1296
Moldova,Female,2009,22.97,47.4116,28.3699
Moldova,Female,2010,27.32,47.4116,28.3699
Moldova,Female,2011,28.88,47.4116,28.3699
Moldova,Female,2012,30.4,47.4116,28.3699
Moldova,Female,2013,31.74,47.4116,28.3699
Moldova,Female,2014,34.6,47.4116,28.3699
Moldova,Female,2015,21.35,47.4116,28.3699
Moldova,Female,2016,23.86,47.4116,28.3699
Moldova,Female,2017,23.59,47.4116,28.3699
Moldova,Female,2018,26.54,47.4116,28.3699
Moldova,Female,2019,34.28,47.4116,28.3699
Moldova,Female,2020,41.27,47.4116,28.3699
Moldova,Female,2021,41.58,47.4116,28.3699
Portugal,Female,2009,7.92,38.7223,9.1393
Portugal,Female,2010,9.04,38.7223,9.1393
Portugal,Female,2011,7.19,38.7223,9.1393
Portugal,Female,2012,6.62,38.7223,9.1393
Portugal,Female,2013,6.72,38.7223,9.1393
Portugal,Female,2014,16.02,38.7223,9.1393
Portugal,Female,2015,7.47,38.7223,9.1393
Portugal,Female,2016,6.83,38.7223,9.1393
Portugal,Female,2017,6.11,38.7223,9.1393
Portugal,Female,2018,7.62,38.7223,9.1393
Portugal,Male,2009,9.54,38.7223,9.1393
Portugal,Male,2010,9.8,38.7223,9.1393
Portugal,Male,2011,9.37,38.7223,9.1393
Portugal,Male,2012,9.24,38.7223,9.1393
Portugal,Male,2013,9.18,38.7223,9.1393
Portugal,Male,2014,21.63,38.7223,9.1393
Portugal,Male,2015,8.52,38.7223,9.1393
Portugal,Male,2016,8.3,38.7223,9.1393
Portugal,Male,2017,6.31,38.7223,9.1393
Portugal,Male,2018,9.19,38.7223,9.1393
Russia,Female,2015,285,55.7558,37.6176
Russia,Female,2017,344,55.7558,37.6176
Russia,Male,2015,399,55.7558,37.6176
Russia,Male,2017,500,55.7558,37.6176
Serbia,Female,2014,304.27,44.0165,21.0059
Serbia,Female,2015,308.63,44.0165,21.0059
Serbia,Female,2016,324.53,44.0165,21.0059
Serbia,Female,2017,346.75,44.0165,21.0059
Serbia,Female,2018,347.93,44.0165,21.0059
Serbia,Female,2019,394.51,44.0165,21.0059
Serbia,Female,2020,458.05,44.0165,21.0059
Serbia,Female,2021,490.06,44.0165,21.0059
Serbia,Male,2014,352.88,44.0165,21.0059
Serbia,Male,2015,338.09,44.0165,21.0059
Serbia,Male,2016,360.98,44.0165,21.0059
Serbia,Male,2017,361.9,44.0165,21.0059
Serbia,Male,2018,389.62,44.0165,21.0059
Serbia,Male,2019,451.14,44.0165,21.0059
Serbia,Male,2020,430.82,44.0165,21.0059
Serbia,Male,2021,446.47,44.0165,21.0059
Slovakia,Female,2010,8.44,48.669,19.699
Slovakia,Female,2014,8.77,48.669,19.699
Slovakia,Female,2015,10.45,48.669,19.699
Slovakia,Female,2019,12.48,48.669,19.699
Slovakia,Female,2020,13.44,48.669,19.699
Slovakia,Female,2021,13.74,48.669,19.699
Slovakia,Male,2010,11.7,48.669,19.699
Slovakia,Male,2014,12.24,48.669,19.699
Slovakia,Male,2015,14.67,48.669,19.699
